ppt_number,agency,watchlist_details,status,notes
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),pending_recon,
2,All India Council for Technical Education (AICTE),Unapproved Institutes,pending_recon,
3,Bureau of Indian Standards (BIS),Compounding of Offence,pending_recon,
4,Bureau of Indian Standards (BIS),Enforcement | Judgements,pending_recon,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,pending_recon,
6,Central Board of Excise and Customs (CBEC),Central Excise - Fraud,pending_recon,
7,Central Board of Excise and Customs (CBEC),Central Excise - Penalty / Interest,pending_recon,
8,Central Board of Excise and Customs (CBEC),Customs - Fraud / Collusion,pending_recon,
9,Central Board of Excise and Customs (CBEC),Customs - Penalty / Interest,pending_recon,
10,Central Board of Excise and Customs (CBEC),Customs - Seizure,pending_recon,
11,Central Bureau of Investigation (CBI),List of Fugitive Economic Offender,skipped,ED list not CBI. CBI does not publish this.
12,Central Bureau of Investigation (CBI),Most Wanted - Announced Rewards,completed,328 records. scrapers/cbi_announced_rewards.py
13,Central Bureau of Investigation (CBI),Most Wanted - Interpol Red Notices,completed,379 records. scrapers/cbi_red_notices.py
14,Central Bureau of Investigation (CBI),Press Release,skipped,News articles not watchlist data. Deferred to Phase 2 NER.
15,Central Bureau of Investigation (CBI),Yellow List,completed,94 records. scrapers/cbi_yellow_notices.py
16,Central Vigilance Commission (CVC),Penalties for Prosecution,pending_recon,
17,Competition Commission of India (CCI),Antitrust Orders,pending_recon,
18,Credit Information Bureau India Limited (CIBIL),Suit Filed - Defaulters Rs 1 Crore and Above,pending_recon,Likely restricted - CIBIL requires login
19,Credit Information Bureau India Limited (CIBIL),Suit Filed - Wilful Defaulters Rs 25 Lacs and Above,pending_recon,Likely restricted - CIBIL requires login
20,Debts Recovery Tribunals (DRTs),DRT Causelist,pending_recon,
21,Directorate General of Foreign Trade (DGFT),Penalized Companies,pending_recon,
22,Directorate of Enforcement (ED),List of Fugitive Economic Offender,pending_recon,High priority AML source
23,Directorate of Enforcement (ED),Press Release,pending_recon,News - may need NER like CBI Press Release
24,Directorate of Enforcement (ED),Red Corner Notices,pending_recon,High priority AML source
25,Economic Offence Wing,Tamil Nadu (TNEOW) - Persons Wanted in Economic Offence Wing Cases,pending_recon,
26,Employees Provident Fund Organisation (EPFO),Orders,pending_recon,
27,Employees' State Insurance Corporation,Defaulters List,pending_recon,
28,Financial Intelligence Unit (FIU),Judgements,pending_recon,
29,Financial Intelligence Unit (FIU),List of NBFCs categorized as High Risk Financial Institutions,pending_recon,
30,Financial Intelligence Unit (FIU),Non Compliant NBFC List,pending_recon,
31,Financial Intelligence Unit (FIU),Orders,pending_recon,
32,Financial Intelligence Unit (FIU),Section 12A of Weapons of Mass Destruction and Their Delivery Systems (Prohibition of Unlawful Activities) Act 2005 - Designated List,pending_recon,
33,Government e Marketplace,Watchlist/ Defaulter,pending_recon,
34,Government of Maharashtra,Department of Goods and Services Tax (GST) - Non Genuine Dealers,pending_recon,
35,Income Tax Department,Tax Defaulters,pending_recon,Likely restricted - may require login
