ppt_number,agency,source_list,url_tried,status_code,final_url,content_type,content_length,aml_keywords_found,download_links_found,confidence,err
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/wilful-defaulter-list-all-banks,404,https://aibea.in/wilful-defaulter-list-all-banks,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/wilful-defaulter-banks,404,https://aibea.in/wilful-defaulter-banks,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/wilful-defaulter,404,https://aibea.in/wilful-defaulter,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/wilful,404,https://aibea.in/wilful,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/blacklist,404,https://aibea.in/blacklist,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/blacklisted,404,https://aibea.in/blacklisted,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/debarred,404,https://aibea.in/debarred,text/html; charset=UTF-8,0,,0,dead,
1,All India Bank Employees Association (AIBEA),Wilful Defaulter List (All Banks),https://aibea.in/debarment,404,https://aibea.in/debarment,text/html; charset=UTF-8,0,,0,dead,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,https://incometaxindia.gov.in/suspected-shell-companies,404,https://www.incometaxindia.gov.in/suspected-shell-companies,text/html;charset=UTF-8,1,,0,dead,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,https://incometaxindia.gov.in/suspected-shell,404,https://www.incometaxindia.gov.in/suspected-shell,text/html;charset=UTF-8,1,,0,dead,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,https://incometaxindia.gov.in/suspected,404,https://www.incometaxindia.gov.in/suspected,text/html;charset=UTF-8,1,,0,dead,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,https://incometaxindia.gov.in/blacklist,404,https://www.incometaxindia.gov.in/blacklist,text/html;charset=UTF-8,1,,0,dead,
5,Central Board of Direct Taxes (CBDT),Suspected Shell Companies,https://incometaxindia.gov.in/blacklisted,404,https://www.incometaxindia.gov.in/blacklisted,text/html;charset=UTF-8,1,,0,dead,
